loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_recall,eval_precision,eval_f1_macro,eval_recall_macro,eval_precision_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.78844482421875,2.0745649337768555,5.28e-06,0.4,100,,,,,,,,,,,,,,,,
1.547255096435547,5.455121994018555,1.0613333333333334e-05,0.8,200,,,,,,,,,,,,,,,,
,,,1.0,250,0.7772701978683472,0.779,0.78631320517787,0.779,0.8111087893700784,0.7513639453435701,0.7991959639947636,0.7278438344899657,2.2302,896.79,14.349,,,,,
0.8365116119384766,4.613675594329834,1.5946666666666668e-05,1.2,300,,,,,,,,,,,,,,,,
0.39122432708740235,4.915993690490723,1.9997504677881224e-05,1.6,400,,,,,,,,,,,,,,,,
0.2568836784362793,3.961796522140503,1.9933459916135277e-05,2.0,500,,,,,,,,,,,,,,,,
,,,2.0,500,0.2044491022825241,0.927,0.9287487801564215,0.927,0.9351271079445229,0.902997173261658,0.93803882636976,0.8791243365213871,2.2661,882.569,14.121,,,,,
0.18826419830322266,2.4805562496185303,1.978340709929188e-05,2.4,600,,,,,,,,,,,,,,,,
0.1893568229675293,8.922672271728516,1.9548645447466433e-05,2.8,700,,,,,,,,,,,,,,,,
,,,3.0,750,0.16325616836547852,0.9295,0.9309537440236474,0.9295,0.9375070451338325,0.9068408808635552,0.942083012122497,0.8823600260046106,2.2743,879.4,14.07,,,,,
0.14686826705932618,3.134429693222046,1.9231207625335235e-05,3.2,800,,,,,,,,,,,,,,,,
0.13815332412719727,2.6741790771484375,1.8833842142473643e-05,3.6,900,,,,,,,,,,,,,,,,
0.14533797264099121,1.9063284397125244,1.8359989555609355e-05,4.0,1000,,,,,,,,,,,,,,,,
,,,4.0,1000,0.15466251969337463,0.9335,0.9348925022289758,0.9335,0.9411163447295622,0.909751403555214,0.9410557200620993,0.8878593484490187,2.3005,869.389,13.91,,,,,
0.10961724281311035,4.086826324462891,1.7813752678841702e-05,4.4,1100,,,,,,,,,,,,,,,,
0.11595961570739746,1.6708921194076538,1.7199861059759338e-05,4.8,1200,,,,,,,,,,,,,,,,
,,,5.0,1250,0.1718270629644394,0.934,0.9352577162734973,0.934,0.9397666715533906,0.9111602111575401,0.9402010711677504,0.8900228202259474,2.3039,868.11,13.89,,,,,
0.10957289695739746,1.3823281526565552,1.652363002903693e-05,5.2,1300,,,,,,,,,,,,,,,,
0.10188385009765626,1.9271433353424072,1.579091467807668e-05,5.6,1400,,,,,,,,,,,,,,,,
0.09249836921691895,2.869807004928589,1.50080591631754e-05,6.0,1500,,,,,,,,,,,,,,,,
,,,6.0,1500,0.18693195283412933,0.9355,0.9362483087043867,0.9355,0.9383155427759428,0.9096994281019573,0.9253867857064112,0.8968071274257222,2.282,876.424,14.023,,,,,
0.07405676364898682,1.5278090238571167,1.4181841775163014e-05,6.4,1600,,,,,,,,,,,,,,,,
0.0681831455230713,2.7095236778259277,1.3319416250122484e-05,6.8,1700,,,,,,,,,,,,,,,,
,,,7.0,1750,0.22217020392417908,0.9365,0.9373654251624333,0.9365,0.9399834394653804,0.9142557066643184,0.9316397243642226,0.9003670819449833,2.2979,870.361,13.926,,,,,
0.06038994312286377,2.016045093536377,1.2428249829347509e-05,7.2,1800,,,,,,,,,,,,,,,,
0.05813066005706787,6.442953109741211,1.1516058604840891e-05,7.6,1900,,,,,,,,,,,,,,,,
0.06572633266448974,7.512716770172119,1.059074071015923e-05,8.0,2000,,,,,,,,,,,,,,,,
,,,8.0,2000,0.2527344524860382,0.933,0.9335422850410403,0.933,0.9352328248358565,0.9075009783400376,0.9190712755494469,0.898675188169742,2.2945,871.656,13.946,,,,,
0.03734541177749634,2.2968122959136963,9.660307935065641e-06,8.4,2100,,,,,,,,,,,,,,,,
0.04837823390960693,1.4468700885772705,8.732816356099455e-06,8.8,2200,,,,,,,,,,,,,,,,
,,,9.0,2250,0.3153529763221741,0.938,0.9383570304206297,0.938,0.9395135484003188,0.9142972738564579,0.9192897672250502,0.9104435360404607,2.2832,875.956,14.015,,,,,
0.038947904109954835,0.7299367189407349,7.81629658369245e-06,9.2,2300,,,,,,,,,,,,,,,,
0.0357623028755188,10.957121849060059,6.918684229781305e-06,9.6,2400,,,,,,,,,,,,,,,,
0.031820521354675294,10.505184173583984,6.047751197956838e-06,10.0,2500,,,,,,,,,,,,,,,,
,,,10.0,2500,0.3287779688835144,0.9325,0.9328725948244885,0.9325,0.9335068015655248,0.9080010403105306,0.9155049435339109,0.9010717899757333,2.2869,874.552,13.993,,,,,
0.03175903558731079,22.2027587890625,5.211038391068577e-06,10.4,2600,,,,,,,,,,,,,,,,
0.022497024536132813,1.6705176830291748,4.415790418930541e-06,10.8,2700,,,,,,,,,,,,,,,,
,,,11.0,2750,0.3526701331138611,0.936,0.9364399545012017,0.936,0.9374910442820168,0.9157016410759441,0.9205975679006002,0.9117052224880989,2.2892,873.682,13.979,,,,,
,,,11.0,2750,,,,,,,,,,,,608.9133,394.12,6.159,2576174544239148.0,0.24521203400871971
,,,11.0,2750,0.3153529763221741,0.938,0.9383570304206297,0.938,0.9395135484003188,0.9142972738564579,0.9192897672250502,0.9104435360404607,2.3627,846.486,13.544,,,,,
